strategy,n_templates,EER,EER_threshold,n_genuine,n_impostor,time_sec,TAR@FAR=0.001,TAR@FAR=0.01,TAR@FAR=0.1
random_one,34,0.0023834512470406882,0.18684203200631433,410,14176,0.0975039005279541,0.9975609756097561,0.9975609756097561,0.9975609756097561
mean_all,34,0.0024539930077630357,0.18676770544266913,410,14176,0.07732510566711426,0.9975609756097561,0.9975609756097561,1.0
manual_three,102,0.0024539930077630357,0.18666770156081375,1230,42528,0.14536285400390625,0.9975609756097561,0.9975609756097561,0.9991869918699187
kmeans_k3,102,0.0024539930077630357,0.1848181730992085,1230,42528,0.8619210720062256,0.9975609756097561,0.9975609756097561,0.9991869918699187
all_vectors,1535,0.0012088417574147373,0.19885251787451053,47012,611503,1.2923309803009033,0.9987875436058878,0.9987875436058878,0.9989151705947418
